peril	n. 严重危险
mutual	a. 相互的；共同的
moisture	n. 潮气；湿气；湿度
moist	a. 潮湿的；湿润的
feature	n. 特征；特色
procedure	n. 程序；步骤
manufacture	vt. (大规模）制造 n. 产品
restrict	vt. 限制；限定；约束
stimulate	vt. 刺激；激励；激发
venture	n. （风险的）企业；商业 v. 敢于去
innovate	v. 创新；革新
innovation	n. 创新；革新；改革
innovative	a. 革新的；创新的
violate	v. 侵犯；违反；玷污
delicate	a. 精致的；易损的；微妙的
estimate	vt. 估计；估计
evaluate	vt. 评估；估价
imitate	vt. 模仿；仿效
penetrate	v. 穿过；渗透
adequate	a. 足够的；充分的
anticipate	vt. 预料；预期；期望
candidate	n. 候选人；应试者
furnish	vt. 布置家具
furniture	n. 家具
pirate	n. 海盗；盗版 vt. 盗用
vibrate	v. (使）颤动
coordinate	vt. (使）协调；调节 n. 坐标
isolate	vt. 使隔离；使孤立
accelerate	v.（使）加速
justice	n. 公正；正义；司法
adjust	vt. 调整；调节 v. 适应
portion	n. 部分；一份
petrol	n. 汽油
velocity	n. 速度
integrity	n. 完整；诚实；正直
density	n. 密度
dense	a. 密集的
elastic	a. 有弹性的；灵活的 n. 松紧带
dignity	n. 尊严；尊贵；高尚
forbid	v. 禁止；不许；阻止
minority	n. 少数；少数民族
nationality	n. 国籍；民族
arrange	vt. 整理；排列 v. 安排
register	v. 登记；注册 n. 登记薄
joint	a. 联合的；共同的
incline	v. 倾向于 n. 斜坡
facility	n. 设备；设施
penalty	n. 惩罚；处罚；刑罚
collaborate	vi. 合作
collaboration	n. 合作
elaborate	a. 精心制作的；复杂的；详尽的 v. 详尽说明
multiply	v. 乘；迅速增加
forecast	n. & vt. 预测；预报
foremost	a. 最重要的；最前的
legislate	vi. 立法；制定法律
refrigerator	n. 冰箱；冷藏库
ballot	n. 无记名投票；投票选举 v. 投票
gravity	n. 重力；引力；严重性
discard	vt. 丢弃；抛弃
distribute	vt. 分配
discharge	vt. 释放；解雇；排放 n. 排出（物）
discriminate	v. 辨别；歧视
disguise	vt. & n. 伪装；假扮
disgust	n. 厌恶 vt. 使反感
integrate	v. (使）成为整体
disintegrate	v. (使）碎裂；（使）解体
distress	n. 悲痛；不幸；贫困 vt. 使悲痛
dispute	n. & v. 争辩；辩论
dilemma	n. (进退两难的）窘境；困境
dioxide	n. 二氧化物
disobey	vt. 不服从
distinct	a. 明显的；清楚的
distinction	n. 差别；优秀；荣誉
distinguished	a. 卓越的；杰出的
genius	n. 天才；天赋；天资
genuine	a. 真的；真诚的
gene	n. 基因
abolish	v. 废除；废止
dispatch	v. & n. 派遣
absent	a. 缺少的；缺席的；心不在焉的
cease	v. 停止；停息
proceed	vi. 继续进行；前往 vt. 接着做
procession	n. 队伍；行列
exceed	vt. 超出；超过；超越
excess	n. 过量；过度 [＇ekses] a. 超额的
excessive	a. 过分的；过度的
abuse	vt. 滥用；虐待［ə'bju:s] n. 滥用；虚待
absorb	vt. 吸收；吸引；使专心
abstract	n. 摘要 a. 抽象的［aeb'straekt] vt. 提取
solemn	a. 庄严的；严肃的
practically	ad. 实际地；几乎
pioneer	n. 先驱者
routine	n. 常规 a. 日常的
marine	a. 海的；海上的
ideal	a. 理想的；最佳的 n. 理想；典范
vehicle	n. 车辆；工具；手段
intimate	a. 亲密的 n. 密友
realistic	a. 现实的；切实可行的
surge	vi. & n. 激增；涌动
reckon	vt. 认为；预计；估计
ozone	n. 臭氧
display	n./v. 陈列；展览
habitat	n. 栖息地
inhabit	v. 居住于；栖息于
inhabitant	n. 居民；栖息动物
vertical	a. 垂直的；直立的；纵向的
convert	v. (使）转变；（使）皈依
converse	vi. 交谈；谈话 [ˈkɒnvɜ:s]n. 相反的事物
conversation	n. (非正式的）谈话；会话
version	n. 版本；译文；说法
confine	vt. 限制；禁闭
finite	a. 有限的
infinite	a. 无限的；极大的
define	vt. 使明确；给……下定义；界定
definition	n. 定义
definite	a. 明确的；确定的
reverse	v. 颠倒；反转 a. 相反的
diverse	a. 不同的；多种多样的
successive	a. 连续的；相继的
refine	vt. 精炼；提纯；改善
refined	a. 精炼的；举止优雅的
municipal	a；市政的；市的
unique	a. 唯一的；独一无二的
community	n. 社区；社会；社团
commune	n. 公社
interval	n. 间隔；休息时间
universal	a. 普遍的；通用的；全体的；共同的
nuclear	a. 原子核的；核能的
superficial	a. 表面的；肤浅的
supreme	a. 最高的；至高的；最重要的
superior	a. 较高的；更好的；卓越的
explode	v. (使）爆炸 vi. 爆发
explosion	n. 爆炸；激增
intelligent	a. 聪明的；有才智的；智能的
intelligence	n. 才智；情报
interfere	vi. 干涉；干扰；妨碍
interior	a. 内部的 n. 内部；内地
interpret	vt. 解释；说明
enterprise	n. 企业；事业心
entrepreneur	n. 企业家
exhaust	v. 筋疲力尽；用光；花完
exhausted	a. 筋疲力尽的；用光的
exaggerate	v. 夸大；夸张
exclaim	vi. 呼喊；惊叫
execute	vt. 实施；执行；处死
executive	n. 主管领导；管理人员 a. 执行的
explicit	a. 明确的；清楚的
extinguish	vt. 扑灭；熄灭；消灭；消除
exploit	vt. 利用；开采；剥削
exert	vt. 运用；发挥；尽力；施加
exhibit	v. 展览；展出；表现；显出
reliability	n. 可靠性
reliable	a. 可靠的
stability	n. 稳定（性）；稳固（性）
stable	a. 稳定的
fertile	a. 肥沃的；多产的；丰富的；能生育的
fertilizer	n. 肥料
hostile	a. 敌对的；有敌意的；不友善的
restrain	v. 约束；管制；限制
expert	n. 专家；行家
expertise	n. 专门的知识或技能
prior	a. 先前的；优先的
priority	n. 优先；优先权
retail	n. & v. 零售
recruit	v. 招募；招聘
refrain	vi. 克制
renovate	vt. 翻新；修复
revenue	n. 财政收入；税收
remedy	n. 治疗方法；补救措施 vt. 改正
rescue	vt. & n. 援救；营救
resort	vi. 求助；诉诸于 n. 度假胜地
reveal	vt. 暴露；显示
precaution	n. 预防措施
reinforce	vt. 增援；加强；加固
refresh	v. 使恢复；更新；使想起
restore	vt. 恢复；归还；修复
retreat	vi. & n. 后退；撤退；躲避
revolt	v. & n. 反抗；反叛
speculate	v. 推测；推断；猜测 vi. 投机
respective	a. 各自的；各个的
rebel	vi. 反抗；造反；反叛［ˈrebl] n. 反叛者
corporation	n. 公司；企业；法人
inspect	vt. 检查；视察；检阅
perspective	n. 观点；看法；透视；视角
prospect	n. 展望；前景；景色
specific	a. 明确的；具体的
specialize	vi. 专攻；专门从事
recreation	n. 娱乐；娱乐活动
increasingly	ad. 日益增长地；越来越多地
vacant	a. 空的；空缺的；呆滞的
vacuum	n. 真空；真空吸尘器
vanish	vi. 突然不见；消失
literal	a. 字面意义的；文字的；完全按原文的
decent	a. 体面的；得体的；像样的；高雅的
inherit	v. 继承（遗产）；遗传
dimension	n. 维度；方面
immense	a. 巨大的
utilize	vt. 利用；使用
utility	n. 实用；效用；公共事业
species	n. 物种
decorate	v. 装饰；装潢
humble	a. 谦逊的
equality	n. 相等；等同；平等
equivalent	a. 等价的；相等的 n. 等价物；相等物
sequence	n. 顺序；次序
consequence	n. 结果；后果
consequently	ad. 因此；所以
subsequent	a. 随后的；后来的
sympathize	vi. 同情；支持
sympathetic	a. 同情的；赞同的
passion	n. 激情；热情；爱好
passionate	a. 狂热的
passive	a. 被动的；消极的
format	n. 形式；版式；格式
inform	v. 通知；了解
reform	vt. & n. 改良；改革
formulate	vt. 规划；制定；确切表达
federal	a. 联邦的；联盟的
extraordinary	a. 非同寻常的
margin	n. 边缘；页边的空白
fluctuate	vi. 波动；起伏
fluid	n. 液体 a. 流动的
fluent	a. 流利的；流畅的
suspend	vt. 推迟；使暂停；吊；悬
suspect	vt. 怀疑 n. 嫌疑犯
temporary	a. 暂时的；临时的
contemporary	a. 当代的；同时代的
tremble	vi. 发抖；战栗；焦虑 n. 颤抖
terminal	a. 末端的；终点的；晚期的 n. 末端
majority	n. 多数；大多数
collapse	vi. & n. 倒塌；崩溃
colleague	n. 同事；同僚
collision	n. 碰撞；冲突；抵触
comprise	vt. 包含；包括；构成
compromise	n. & v. 妥协；和解
compact	a. 紧凑的；体积小的
commence	v. 开始；着手
comply	vi. 服从；顺从；遵从；遵守
concrete	a. 实在的；具体的 n. 混凝土
condemn	vt. 谴责；指责；判刑
contest	n. 竞赛 [kənˈtest] vt. 争取赢得
contract	n. 合同；契约 [kənˈtrækt] v. 缩小；感染
context	n. 上下文；背景；环境
conceal	vt. 隐藏；隐瞒
condense	vt. 使浓缩；简缩
confirm	vt. 确认；确定；批准
constitute	vt. 组成；构成；建立；制定
contact	n. & v. 接触；联系
convey	vt. 表达；传送
convince	vt. 使确信；使信服
conflict	n. & v. 冲突；斗争
consolidate	v. (使）巩固；（使）强化；（使）合并
contaminate	vt. 污染；弄脏；腐蚀
council	n. 理事会；委员会
coherence	n. 一致；连贯性
coherent	a. 合乎逻辑的；有条理的
conference	n. 会议；讨论会
conscience	n. 良心；道德心
existence	n. 存在；生活（方式）
compel	vt. 强迫；引起
compulsory	a. 强制性的；必修的；义务的
expel	v. 开除；驱逐出境
appeal	vi. & n. 呼吁；上诉；吸引力
counsel	n. 建议；劝告；法律顾问 vt. 劝告；建议
consult	v. 咨询；请教；协商 vt. 查阅
consultant	n. 顾问
category	n. 种类；类别；范畴
combat	n. & v. 搏斗；战斗
compress	v. 压缩 vt. 精简
depress	v. 使沮丧；使萧条
depression	n. 抑郁；萧条期
annual	a. 每年的；年度的 n. 年刊
section	n. 部门；部分；一段
segment	n. 部分；段［seg'ment] vt. 分割
liberate	vt. 解放；释放
liberty	n. 自由
deliver	vt. 递送；发表；分娩；接生
contradict	vt. 反驳；与······矛盾
contrary	a. 相反的；对立的 n. 相反
contrast	n. 对比；对照；差异
controversy	n. 争论；辩论
reproduce	v. 繁殖；生殖 vt. 复制；使再生
transmission	n. 传递；传播
mission	n. 任务；使命；使团
commission	n、委员会；佣金
omit	vt. 省略；删掉；遗漏
dismiss	vt. 解雇；遣散；解散；驳回
commit	v. 犯罪；承诺
committee	n. 委员会；全体委员
settlement	n. 和解；偿清；协议
supplement	n. 补充；增补；补充物
installment	n. 分期付款
conduct	v. 组织；指挥；引导 [ˈkɒndʌkt] n. 行为举止
shortage	n. 不足；缺少；缺乏
drain	v. 流光；排空 n. 下水道；排水管
drainage	n. 排水；排水系统
beverage	n. 饮料
arbitrary	a. 随意的；专横的
boundary	n. 分界线；边界
elementary	a. 基本的；初级的
monetary	a. 货币的；金融的
voluntary	a. 自愿的；志愿的
acute	a. 十分严重的；急性的；灵敏的
hospitable	a. 好客的；适宜的
injection	n. 注射；注入
reject	vt. 拒绝；去弃
catalogue	(亦作 catalog) n. 目录；目录册
sponsor	n. 赞助商 vt. 赞助
correspond	vi. 相符合；一致；通信
corresponding	a. 符合的；相应的
decade	n. 十年
aggressive	a. 有进取心的；挑峰的；侵略的
congress	n. 代表大会；国会；议会
resign	v. 辞职
mount	vt. 登上 vi. 增加
sacrifice	vt. 牺牲；祭献 n. 牺牲；祭品
accord	vi. 符合；配合 vt. 给予 n. 协议；条约
accordance	n. 一致；按照
accordingly	ad. 相应地；照着；因此
enthusiasm	n. 热情
enthusiastic	a. 热情的
logic	n. 逻辑
logical	a. 符合逻辑的；符合情理的
embrace	v. 拥抱；包括
emphasize	vt. 强调；着重
encounter	vt. & n. 遭遇；遇到
endure	v. 忍受；容忍
enforce	vt. 强制实施；强制执行；强迫
engage	vi. 从事 vt. 吸引；聘用；交战
entitle	vt. 给……权利；有资格
envy	v. & n. 嫉妒；羡慕
entry	n. 入口处；登记；进入；条目
enlighten	vt. 启发；启迪；开导
enroll	(亦作 enrol) v. 注册；登记；加入
property	n. 财产，资产；性质
feasible	a. 可行的
tangible	a. 有形的；实际的；可触摸的
intangible	a. 无形的；难以形容的
administer	vt. 管理；执行
advocate	vt. 主张；提倡 n. 拥护者
accumulate	vt. 积累；积攒
acquaint	vt. 使熟悉；使了解
acquaintance	n. 熟人
accuse	vt. 控告；指控；谐责
appetite	n. 食欲；胃口；欲望
approximate	a. 近似的
acknowledge	n. 承认；感谢
approach	v. 接近 n. 方法
attribute	vt. 把……归因于 [ˈætrɪbju:t] n. 属性
arrest	vt. & n. 逮捕
annoy	v. 使恼怒；使生气
asset	n. 资产；有用的人或物
evident	a. 明显的；显著的
evidence	n. 证据；证明
visible	a. 可见的
invisible	a. 看不见的
vision	n. 视力；视野
devise	vt. 发明；设计；想出
revise	vt. 修订；校订 vi. 复习功课
witness	n. 目击者；证人 vt. 目击
summit	n. 最高点；首脑会议；峰会；顶峰
assume	vt. 假定；承担；呈现
democracy	n. 民主；民主政体
democratic	a. 民主的
ultimate	a. 最后的；最终的；终极的
disturb	vt. 扰乱；打扰；妨碍；使不安
frontier	n. 边境；边疆；边界；前沿
confront	vt. 使面对；对抗；遭遇
withdraw	v. 撤回；退出 vt. 收回；取
withstand	vt. 抵抗；承受
evolution	n. 进化；演化；发展
volume	n. 卷；册；量；体积；音量
revolution	n. 革命；旋转
circumstance	n. 条件；环境；状况
opponent	n. 对手；敌手；对抗者
oppose	vt. 反对；反抗
synthetic	a. 综合的；合成的；人造的
symptom	n. 症状；征兆
resemble	vt. 像；类似
assemble	v. 集合；召集 vt. 装配
capacity	n. 容量；能力
static	a. 静止的；静态的 n. 静电
status	n. 地位；身份；状况
stadium	n. 体育场；运动场
statistic	n. 统计数据（statistics) 统计学
estate	n. 庄园；地产；财产；遗产
instance	n. 例子；实例；事例
insist	v. 坚持；坚持要求
consist	v. 由…组成
resist	v. 抵抗；反抗
resistance	n. 反对；抵抗
resistant	a. 抵抗的；抗…的
sightseeing	n. 观光；游览
surrounding	a. 周围的
calculating	a. 精明的；有心计的；精于算计的
imposing	a. 令人印象深刻的；壮观的
regarding	prep. 关于
concerning	prep. 关于；涉及
sophisticated	a. 久经世故的；高级的；复杂的
advanced	a. 先进的；高等的；高级的；年老的
steady	a. 稳定的；稳固的
sticky	a. 黏性的；棘手的
guilty	a. 有罪的；内疚的
greedy	a. 贪婪的；贪吃的
rational	a. 合理的；理性的
irrational	a. 不合理的
faulty	a. 有错误的；有缺点的
slippery	a. 滑的；油滑的
dictate	vt. 口述；命令；使听写 [ˈdɪkteɪt] n . 命令；规定
dictation	n. 听写；口述
predict	v. 预测；预言
initiate	v. 开始；发起
initial	a. 最初的；开始的
initiative	n. 倡议；自发性；主动性
ambition	n. 野心；志向
veteran	n. 老兵；老手
fate	n. 命运
fatal	a. 致命的；灾难性的
flame	n. 火焰；热情 vi. 燃烧；发怒
phenomenon	(pl. phenomena) n. 现象
foundation	n. 基础；地基；基金会
fund	n. 基金；资金
fundamental	a. 基础的；基本的；根本的
alternative	a. 供选择的； 可替代的n. 可供选择的事物
underline	vt. 强调；在……下划线
undergo	v. 经历；遭受
undertake	v. 承担；从事；承诺
jury	n. 陪审团；评委会
injure	vt. 伤害；损害；损伤
injury	n. 伤害；损伤
rigid	a. 严格的；僵硬的；刚硬的
valid	a. 有效的；正当的
acid	a. 酸的；酸性的 n. 酸
splendid	a. 辉煌的；极佳的；壮丽的；豪华的
compatible	a. 兼容的；和睦共处的；志趣相投的
neutral	a. 中立的；中性的
conventional	a. 传统的；依照惯例的
typical	a. 典型的
arrival	n. 抵达；到来；到货
proof	n. 证明 a. 防…的
waterproof	a. 防水的
reputation	n. 名誉；名声
resolution	n. 决议；决心；解决
resolve	v. 解决；决心
temptation	n. 诱惑；引诱
vocation	n. 职业；行业；使命感
cooperation	n. 合作；协助
frustration	n. 挫折；失败；沮丧
pension	n. 养老金；退休金；抚恤金 vt. 给予……养老金
invasion	n. 入侵；侵略
institution	n. 机构；制度；习俗
cohesion	n. 结合；凝聚性；内聚力
conjunction	n. 连接词；结合
convention	n. 习俗；惯例；大会；公约
constitution	n. 宪法；章程；体质；构造
consumption	n. 消耗；消费
combination	n. 组合；联合；合并
submit	vt. 呈递；提交 v. 服从
substantial	a. 大量的；坚固的
substitute	n. 代替人；替代品 v. 用……代替
substance	n. 物质；实质
subject	n. 主题；学科；实验对象 a. 可能受…的影响
lessen	v. 减少；减轻
strengthen	v. 加强；增强
broaden	v. (使）变宽；（使）扩大
maiden	n. 少女；姑娘
submarine	a. 水下的；海底的 n. 潜水艇
submerge	v. 淹没；潜入水中
conquer	v. 征服；克服
conquest	n. 征服；克服
threaten	vt. 威胁；恐吓
fasten	v. 系牢；扎牢
enquire	(亦作 inquire) v. 询问；打听；调查
enquiry	(亦作 inquiry) n. 询问；调查；探索
essence	n. 本质；实质；精髓
essential	a. 基本的；必要的；极其重要的
permanent	a. 永久的；长久的
persist	vi. 坚持；执意
persuade	vt. 劝说；说服
persevere	vi. 坚持
perseverance	n. 毅力；韧性
preserve	vt. 保护；维持；保存
reserve	v. 预定；保留
deserve	v. 值得；应受
observe	v. 观察；看到
conserve	v. 节约；保护
conservative	a. 保守的 n. 保守的人；保守党
mislead	vt. 误导
criticize	v. 批评；指责 vt. 评论
criticism	n. 批评；评论
critical	a. 批判的；极其重要的
crisis	(复数 crises) n. 危机；危难时刻
criterion	(复数 criteria) n. 标准
casual	a. 漫不经心的；非正式的；偶然的
indifferent	a. 漠不关心的
dissolve	v. 使溶解；解除；消除
awesome	a. 令人惊叹的；很好的
modest	a. 谦虚的；适中的；朴素的
moderate	a. 适中的；温和的 v. 缓和
commodity	n. 商品；有用之物
accommodate	v. 提供住宿；容纳
accommodation	n. 住处；住宿
miracle	n. 奇迹
marvel	n. 奇迹 v. 感到惊叹
sew	v. 缝制；缝纫
pilot	n. 飞行员 vt. 驾驶 a. 试验性的；试点的
label	n. 标签；标记 vt. 贴标签于…
blend	v. 混合；融合 n. 混合体
pitch	n. 球场；音调 v. 投；掷
tame	a. 驯服的；温顺的 vt. 驯养；驯服
pray	v. 祈求；祈祷
claim	vt. & n. 要求；索取；声称
digest	v. 消化 vt. 领会 [ˈdaɪdʒest] n. 摘要；文摘
loan	n. 贷款；借出 vt. 借出
slender	a. 纤细的；苗条的
grave	n. 坟墓 a. 严重的；严肃的
grand	a. 宏伟的；盛大的；总括的
chief	a. 主要的；首席的
former	a. 以前的；在前的
latter	a. 后者的；后面的
shift	v. & n. 移动；改变
ceremony	n. 典礼；仪式
patch	n. 补丁；眼罩；小片 vt. 修补；缝补
steer	v. 驾驶 vt. 行驶；引导；控制
damp	a. 潮湿的；微湿的 n. 潮湿；湿气
creep	vi. 爬行；潜入
scratch	v. & n. 搔；抓；划伤
seal	n. 密封；印章；海豹 vt. 密封
rent	v. 租用 n. 租金
stir	vt. 搅拌；搅和；激起
blank	a. 空白的 n. 空白
whisper	n. 私语；谣传 v. 低语；私语
spill	v. (使）溢出 vi. 蜂拥而出
float	v. 浮动；漂浮
plunge	v. 暴跌 n. 猛降
